2841,-10.71,1.77,-4.57,0.33,-0.04,0.40,999.74,28.06
2870,-10.49,0.45,-3.41,0.12,-0.25,0.37,999.76,28.07
2899,-9.39,0.34,-3.55,0.17,-0.32,0.57,999.76,28.07
2928,-8.62,0.57,-3.93,0.23,-0.21,0.69,999.76,28.07
2957,-8.84,0.62,-3.83,0.13,0.18,0.44,999.76,28.07
2985,-9.17,0.92,-3.72,0.22,0.07,0.56,999.76,28.07
3017,-7.07,0.59,-2.76,0.48,-0.03,0.38,999.77,28.08
3047,-6.89,0.45,-1.91,0.60,0.11,-0.03,999.77,28.08
3076,-7.02,0.40,-1.02,0.70,0.14,-0.24,999.77,28.08
3104,-6.68,1.02,-0.74,0.82,0.18,-0.06,999.77,28.08
3133,-8.21,1.99,-1.06,0.72,0.03,0.48,999.77,28.08
3163,-8.75,1.47,-1.35,0.57,-0.27,0.12,999.77,28.08
3191,-9.12,0.48,-1.50,0.59,-0.38,-0.54,999.77,28.08
3220,-9.39,0.78,-2.29,0.74,-0.29,-0.55,999.77,28.08
3249,-9.70,2.26,-2.01,0.59,-0.35,-0.21,999.77,28.08
3278,-9.39,2.52,-2.39,0.16,-0.40,0.20,999.77,28.08
3310,-9.76,0.91,-2.57,0.05,-0.46,0.07,999.75,28.07
3339,-10.01,0.20,-2.60,0.33,-0.35,0.04,999.75,28.07
3367,-10.77,-0.51,-2.28,0.67,-0.45,-0.14,999.75,28.07
3397,-9.83,2.05,-3.09,0.35,-0.62,-0.09,999.75,28.07
3427,-10.34,1.69,-4.07,0.21,-0.04,0.30,999.75,28.07
3456,-11.53,-1.00,-4.01,0.53,0.38,0.13,999.76,28.09
3484,-10.84,-0.33,-3.24,0.40,0.06,-0.35,999.76,28.09
3514,-9.27,1.71,-3.80,0.24,-0.05,0.02,999.76,28.09
3543,-10.14,0.19,-3.25,0.32,-0.21,0.47,999.76,28.09
3572,-9.62,-1.05,-2.57,0.46,-0.54,-0.31,999.76,28.09
3604,-8.84,0.81,-2.74,0.65,-0.44,-0.49,999.77,28.09
3634,-9.69,0.91,-3.13,0.77,-0.08,-0.05,999.77,28.09
3662,-8.42,0.56,-1.96,0.73,-0.50,-0.26,999.77,28.09
3692,-8.17,0.15,-2.29,0.73,-0.75,-0.16,999.77,28.09
3721,-8.71,-1.09,-3.53,0.98,-0.55,-0.24,999.77,28.09
